timestamp,value
2025-01-01T12:03:00,??
2025-01-01T12:03:05,5
2025-01-01T12:03:10,NA
2025-01-01T12:03:15, 5.196
2025-01-01T12:03:20,5.376 
01/01/2025 12:03:25,5.373
2025-01-01T12:03:30, 5
2025-01-01T12:03:35, 5.526
01/01/2025 12:03:40, 5.528 
01/01/2025 12:03:45,5
01/01/2025 12:03:50, 5
01/01/2025 12:03:55, 5
01/01/2025 12:04:00, 5.574
01/01/2025 12:04:05,??
2025-01-01T12:04:10, 5
2025-01-01T12:04:15.123, 5
01/01/2025 12:04:20,5.401 
01/01/2025 12:04:25,5
01/01/2025 12:04:30,5.151
2025-01-01T12:04:35,
2025-01-01T12:04:40.123,4.989 
2025-01-01T12:04:45, 4.931
01/01/2025 12:04:50, 4.810
01/01/2025 12:04:55, 9.067
2025-01-01T12:05:00,
2025-01-01T12:05:05,4
01/01/2025 12:05:10, 4.518 
01/01/2025 12:05:15,2
2025-01-01T12:05:20,
2025-01-01T12:05:25.123,4.320 
2025-01-01T12:05:30,4.350
2025-01-01T12:05:35,4
2025-01-01T12:05:40.123, 4
2025-01-01T12:05:45, 4
2025-01-01T12:05:50,4
01/01/2025 12:05:55, 9.076 
01/01/2025 12:06:00,??
2025-01-01T12:06:05.123, 4
2025-01-01T12:06:10, 4
2025-01-01T12:06:15, 4
2025-01-01T12:06:20,5
01/01/2025 12:06:25, 5
2025-01-01T12:06:30,??
2025-01-01T12:06:35, 5
2025-01-01T12:06:40.123, 5
2025-01-01T12:06:45, 5
01/01/2025 12:06:50, 5.517 
2025-01-01T12:06:55, 5.600
01/01/2025 12:07:00,5.474
2025-01-01T12:07:05,5.514
2025-01-01T12:07:10,5
2025-01-01T12:07:15, 5.644
2025-01-01T12:07:20, 5.597
2025-01-01T12:07:25,5.488 
2025-01-01T12:07:30.123, 5
2025-01-01T12:07:35,5
2025-01-01T12:07:40,
2025-01-01T12:07:45, 5
2025-01-01T12:07:50,5
2025-01-01T12:07:55, 5.179 
2025-01-01T12:08:00,4.938
2025-01-01T12:08:05,4.953 
2025-01-01T12:08:10, 4.774
2025-01-01T12:08:15, 4.660 
2025-01-01T12:08:20, 4
2025-01-01T12:08:25, 4
01/01/2025 12:08:30,??
2025-01-01T12:08:35.123, 4
2025-01-01T12:08:40.123, 4
2025-01-01T12:08:45,4.472 
2025-01-01T12:08:50.123, 4
2025-01-01T12:08:55, 4.385 
2025-01-01T12:09:00.123,
2025-01-01T12:09:05,4
2025-01-01T12:09:10,4.551
01/01/2025 12:09:15, 4.522
2025-01-01T12:09:20, 4
2025-01-01T12:09:25,4.807
01/01/2025 12:09:30,
2025-01-01T12:09:35,4
2025-01-01T12:09:40, 4.995 
01/01/2025 12:09:45,5
2025-01-01T12:09:50,
01/01/2025 12:09:55, 5.356 
2025-01-01T12:10:00, 5.339
2025-01-01T12:10:05, 5
2025-01-01T12:10:10,5.451 
01/01/2025 12:10:15,5
2025-01-01T12:10:20, 5
2025-01-01T12:10:25, 5
2025-01-01T12:10:30, 5
2025-01-01T12:10:35, 5.545
2025-01-01T12:10:40,error
2025-01-01T12:10:45,??
2025-01-01T12:10:50, 5.464 
2025-01-01T12:10:55, 5.335 
2025-01-01T12:11:00.123, 5
2025-01-01T12:11:05,5
2025-01-01T12:11:10,5.099
2025-01-01T12:11:15.123, 5.057
2025-01-01T12:11:20,4
01/01/2025 12:11:25,4.845
01/01/2025 12:11:30, 4
2025-01-01T12:11:35,4
2025-01-01T12:11:40,4.620 
01/01/2025 12:11:45,4.492
01/01/2025 12:11:50,4
01/01/2025 12:11:55,4
2025-01-01T12:12:00,4
2025-01-01T12:12:05,4
2025-01-01T12:12:10,4.460 
2025-01-01T12:12:15.123,4
2025-01-01T12:12:20, 4
2025-01-01T12:12:25, 4
2025-01-01T12:12:30, 4
2025-01-01T12:12:35,4.640
2025-01-01T12:12:40,4
01/01/2025 12:12:45,4.757 
01/01/2025 12:12:50, 4.864 
2025-01-01T12:12:55,4.956 
2025-01-01T12:13:00.123,??
01/01/2025 12:13:05,5
01/01/2025 12:13:10,5
2025-01-01T12:13:15.123,5.330 
2025-01-01T12:13:20, 5
2025-01-01T12:13:25,5.397 
2025-01-01T12:13:30, 5.575
01/01/2025 12:13:35, 5
2025-01-01T12:13:40,5.663 
2025-01-01T12:13:45,5
2025-01-01T12:13:50,N/A
2025-01-01T12:13:55, 5.592
2025-01-01T12:14:00,5
2025-01-01T12:14:05,??
2025-01-01T12:14:10.123, 5.486 
2025-01-01T12:14:15.123, 5
01/01/2025 12:14:20,5
01/01/2025 12:14:25, 5.242
2025-01-01T12:14:30, 5.282 
2025-01-01T12:14:35,5.074
2025-01-01T12:14:40,5
2025-01-01T12:14:45.123, 4
2025-01-01T12:14:50.123,
2025-01-01T12:14:55.123,4.731 
2025-01-01T12:15:00,4.598 
2025-01-01T12:15:05,N/A
2025-01-01T12:15:10.123,4.451
2025-01-01T12:15:15, 4.449 
2025-01-01T12:15:20, 4
2025-01-01T12:15:25,4.500
01/01/2025 12:15:30,4
01/01/2025 12:15:35, 4
2025-01-01T12:15:40,
2025-01-01T12:15:45, 4
2025-01-01T12:15:50,4
2025-01-01T12:15:55, 4.614
2025-01-01T12:16:00,4.659 
2025-01-01T12:16:05, 4
2025-01-01T12:16:10, 4
2025-01-01T12:16:15.123, 4.813
01/01/2025 12:16:20,4
2025-01-01T12:16:25,5.048
2025-01-01T12:16:30,5
2025-01-01T12:16:35,5.357
01/01/2025 12:16:40,??
01/01/2025 12:16:45,5
2025-01-01T12:16:50,5
2025-01-01T12:16:55, 5.597 
2025-01-01T12:17:00.123,5
01/01/2025 12:17:05, 5
2025-01-01T12:17:10,5.510
2025-01-01T12:17:15,5.679 
01/01/2025 12:17:20, 5
01/01/2025 12:17:25, 5.507 
2025-01-01T12:17:30,5.398 
2025-01-01T12:17:35,5.502
2025-01-01T12:17:40,5.284 
01/01/2025 12:17:45,5
2025-01-01T12:17:50.123, 5.132 
2025-01-01T12:17:55, 5.011
