timestamp;value
2025-01-01T12:30:00;4.917 
01/01/2025 12:30:05;5.145 
01/01/2025 12:30:10;N/A
2025-01-01T12:30:15;5.298
2025-01-01T12:30:20;5,283
2025-01-01T12:30:25.123; 5,496 
2025-01-01T12:30:30.123;5.507
01/01/2025 12:30:35;5.507 
01/01/2025 12:30:40; 5.508
01/01/2025 12:30:45; 5.692 
01/01/2025 12:30:50; 5,613 
2025-01-01T12:30:55; 5,566 
01/01/2025 12:31:00;5.515
2025-01-01T12:31:05; 5.613
01/01/2025 12:31:10;5.583
01/01/2025 12:31:15;5.471
2025-01-01T12:31:20.123;5.266
2025-01-01T12:31:25;none
2025-01-01T12:31:30; 5.218 
2025-01-01T12:31:35; 5,050 
01/01/2025 12:31:40; 5.066
2025-01-01T12:31:45;4.886 
01/01/2025 12:31:50; 4.786 
2025-01-01T12:31:55.123;4,697
2025-01-01T12:32:00;4,703
01/01/2025 12:32:05; 4,528 
2025-01-01T12:32:10; 4.522
2025-01-01T12:32:15; 4.482 
2025-01-01T12:32:20;4,354 
2025-01-01T12:32:25; 4.485 
01/01/2025 12:32:30; 4,440
2025-01-01T12:32:35; 4.498
01/01/2025 12:32:40;4,347
01/01/2025 12:32:45; 4.517
2025-01-01T12:32:50; 8,524
2025-01-01T12:32:55;4,559
2025-01-01T12:33:00;7.920
2025-01-01T12:33:05;4,807
01/01/2025 12:33:10;NULL
2025-01-01T12:33:15;4,924
01/01/2025 12:33:20; 4.969 
2025-01-01T12:33:25.123;5,006
01/01/2025 12:33:30; 5.116 
2025-01-01T12:33:35;5.206 
2025-01-01T12:33:40;5,439 
01/01/2025 12:33:45;5,387 
2025-01-01T12:33:50; 5.551 
2025-01-01T12:33:55;5.483 
01/01/2025 12:34:00; 5.568 
2025-01-01T12:34:05; 5.529 
2025-01-01T12:34:10;5,693 
01/01/2025 12:34:15;
2025-01-01T12:34:20;5,653 
2025-01-01T12:34:25;5,592
2025-01-01T12:34:30; 5,535 
2025-01-01T12:34:35; 5.409
01/01/2025 12:34:40; 5.347
01/01/2025 12:34:45;5,235 
2025-01-01T12:34:50.123;5,101
2025-01-01T12:34:55; 5.090 
2025-01-01T12:35:00;N/A
2025-01-01T12:35:05;4.920 
01/01/2025 12:35:10; 4.879 
01/01/2025 12:35:15; 4.654
01/01/2025 12:35:20;4,675
2025-01-01T12:35:25;
01/01/2025 12:35:30; 4,531
2025-01-01T12:35:35;none
01/01/2025 12:35:40;4.514
01/01/2025 12:35:45;4.384 
01/01/2025 12:35:50;4,368 
01/01/2025 12:35:55; 4.346 
2025-01-01T12:36:00;
2025-01-01T12:36:05;4.523
2025-01-01T12:36:10.123; 4,543 
01/01/2025 12:36:15; 4,568 
2025-01-01T12:36:20; 4,666
01/01/2025 12:36:25; 4,688
2025-01-01T12:36:30; 4.741
2025-01-01T12:36:35.123; 4.963 
2025-01-01T12:36:40; 4.954
2025-01-01T12:36:45;5.071 
2025-01-01T12:36:50;5,096 
2025-01-01T12:36:55.123;??
01/01/2025 12:37:00; 5,258
2025-01-01T12:37:05; 5,478 
2025-01-01T12:37:10; 5,453 
2025-01-01T12:37:15.123;5,580
2025-01-01T12:37:20;5,662
2025-01-01T12:37:25.123; 5,589
2025-01-01T12:37:30;5.614
2025-01-01T12:37:35; 5.539 
2025-01-01T12:37:40; 5.632 
2025-01-01T12:37:45;NULL
2025-01-01T12:37:50;5.412 
2025-01-01T12:37:55;5,419 
