timestamp,value
2025-01-01T12:21:00,5.086
01/01/2025 12:21:05, 5.055
2025-01-01T12:21:10.123, 5.220
2025-01-01T12:21:15,
2025-01-01T12:21:20, 5.342
2025-01-01T12:21:25,5
2025-01-01T12:21:30, 5.432
2025-01-01T12:21:35, 5.605
2025-01-01T12:21:40,
2025-01-01T12:21:45, 3.183 
2025-01-01T12:21:50, 5
2025-01-01T12:21:55,5
2025-01-01T12:22:00, 5
01/01/2025 12:22:05, 5
01/01/2025 12:22:10, 5
01/01/2025 12:22:15,5.385 
2025-01-01T12:22:20,5
01/01/2025 12:22:25, 5
2025-01-01T12:22:30.123,5.168 
01/01/2025 12:22:35, 5.078 
01/01/2025 12:22:40,4
2025-01-01T12:22:45, 4.809
2025-01-01T12:22:50,4.888 
2025-01-01T12:22:55,4.772
2025-01-01T12:23:00.123,4.713
2025-01-01T12:23:05,4
01/01/2025 12:23:10,??
01/01/2025 12:23:15,4
2025-01-01T12:23:20,4
01/01/2025 12:23:25, 4.351
2025-01-01T12:23:30, 4.329
2025-01-01T12:23:35, 4
2025-01-01T12:23:40,4.504 
2025-01-01T12:23:45,4
01/01/2025 12:23:50, 4
2025-01-01T12:23:55, 4
2025-01-01T12:24:00,error
2025-01-01T12:24:05, 4
2025-01-01T12:24:10, 4.815 
2025-01-01T12:24:15,4.964 
2025-01-01T12:24:20,4.915
01/01/2025 12:24:25,5.191 
2025-01-01T12:24:30,5.260
2025-01-01T12:24:35.123, 5.256
2025-01-01T12:24:40,5
2025-01-01T12:24:45,NA
2025-01-01T12:24:50,5
2025-01-01T12:24:55, 5
2025-01-01T12:25:00,error
2025-01-01T12:25:05.123,5
2025-01-01T12:25:10.123, 5.635 
2025-01-01T12:25:15.123, 5.691
2025-01-01T12:25:20, 5.526 
2025-01-01T12:25:25,none
01/01/2025 12:25:30, 5
2025-01-01T12:25:35.123,5.495
2025-01-01T12:25:40, 5
2025-01-01T12:25:45,
2025-01-01T12:25:50,??
2025-01-01T12:25:55, 2.916 
2025-01-01T12:26:00,??
2025-01-01T12:26:05,4
01/01/2025 12:26:10,??
2025-01-01T12:26:15,4
01/01/2025 12:26:20, 4
01/01/2025 12:26:25, 4.609 
2025-01-01T12:26:30,4.416 
2025-01-01T12:26:35,NA
2025-01-01T12:26:40,4
01/01/2025 12:26:45,??
01/01/2025 12:26:50, 4
01/01/2025 12:26:55,4
01/01/2025 12:27:00,NA
2025-01-01T12:27:05,
2025-01-01T12:27:10, 4
2025-01-01T12:27:15,4.480 
2025-01-01T12:27:20, 4
2025-01-01T12:27:25,??
2025-01-01T12:27:30.123, 3
2025-01-01T12:27:35,4.985
2025-01-01T12:27:40, 4
2025-01-01T12:27:45,5
2025-01-01T12:27:50, 5.118 
01/01/2025 12:27:55, 5.218 
2025-01-01T12:28:00, 5.270
2025-01-01T12:28:05,5.513 
2025-01-01T12:28:10,5
01/01/2025 12:28:15, 5.527 
2025-01-01T12:28:20,5.612 
2025-01-01T12:28:25, 5.523 
01/01/2025 12:28:30, 5.617
2025-01-01T12:28:35,5.660
2025-01-01T12:28:40, 5.513 
01/01/2025 12:28:45,5
2025-01-01T12:28:50, 5.481
2025-01-01T12:28:55,5
2025-01-01T12:29:00, 5
2025-01-01T12:29:05, 5.277
2025-01-01T12:29:10.123, 5
2025-01-01T12:29:15,5.020
2025-01-01T12:29:20, 5.037 
01/01/2025 12:29:25,7.925 
2025-01-01T12:29:30,error
2025-01-01T12:29:35, 4
2025-01-01T12:29:40.123, 4
2025-01-01T12:29:45, 4
2025-01-01T12:29:50.123, 4.576 
2025-01-01T12:29:55.123,
2025-01-01T12:30:00, 4
2025-01-01T12:30:05, 4
2025-01-01T12:30:10,4.477 
2025-01-01T12:30:15,4.503 
2025-01-01T12:30:20,4
2025-01-01T12:30:25.123,4.429 
2025-01-01T12:30:30,??
2025-01-01T12:30:35.123, 4
01/01/2025 12:30:40,4
01/01/2025 12:30:45,4
01/01/2025 12:30:50, 4.773
01/01/2025 12:30:55, 4.855 
2025-01-01T12:31:00, 5
2025-01-01T12:31:05.123, 5.067
01/01/2025 12:31:10,5.277
2025-01-01T12:31:15,5
2025-01-01T12:31:20,??
2025-01-01T12:31:25,5.492 
2025-01-01T12:31:30,5
01/01/2025 12:31:35,
2025-01-01T12:31:40, 5.546 
2025-01-01T12:31:45,5
01/01/2025 12:31:50,??
2025-01-01T12:31:55, 5
2025-01-01T12:32:00, 5
2025-01-01T12:32:05, 5.631
01/01/2025 12:32:10,5
2025-01-01T12:32:15,2.590 
2025-01-01T12:32:20, 5.293
2025-01-01T12:32:25,NULL
2025-01-01T12:32:30,5
2025-01-01T12:32:35, 5.170
2025-01-01T12:32:40,5
01/01/2025 12:32:45,4
01/01/2025 12:32:50,4
2025-01-01T12:32:55,4.714
2025-01-01T12:33:00.123,??
2025-01-01T12:33:05.123, 4.477
2025-01-01T12:33:10,4
2025-01-01T12:33:15, 4
2025-01-01T12:33:20.123, 4
01/01/2025 12:33:25, 4.314
2025-01-01T12:33:30,4
2025-01-01T12:33:35.123, 4.346
2025-01-01T12:33:40, 4.414 
01/01/2025 12:33:45, 4
01/01/2025 12:33:50, 4
01/01/2025 12:33:55,4.631 
2025-01-01T12:34:00, 4.606
2025-01-01T12:34:05, 4.683
2025-01-01T12:34:10,??
2025-01-01T12:34:15, 5.004
2025-01-01T12:34:20,5
2025-01-01T12:34:25.123,5
2025-01-01T12:34:30,??
2025-01-01T12:34:35.123,5
2025-01-01T12:34:40,5
2025-01-01T12:34:45,5.480 
01/01/2025 12:34:50,
01/01/2025 12:34:55, 5
01/01/2025 12:35:00, 5
2025-01-01T12:35:05, 5.614 
2025-01-01T12:35:10,error
2025-01-01T12:35:15.123,5.579 
2025-01-01T12:35:20,error
2025-01-01T12:35:25,5.561 
2025-01-01T12:35:30.123,5.455
2025-01-01T12:35:35, 5
2025-01-01T12:35:40,5
01/01/2025 12:35:45, 5
2025-01-01T12:35:50,none
2025-01-01T12:35:55,
