archivo,salida,filas_totales,filas_validas,descartes_timestamp,descartes_valor,%descartadas,n,min,max,prom,alerts,alerts_pct
humedad_sucio_01.csv,temperatura_limpio_01.csv,180,158,0,22,12.22,158,16.15,220.27,98.13,120,75.95
humedad_sucio_02.csv,temperatura_limpio_02.csv,180,160,0,20,11.11,160,34.07,219.17,109.38,156,97.5
humedad_sucio_03.csv,temperatura_limpio_03.csv,180,156,0,24,13.33,156,16.15,211.04,97.8,119,76.28
humedad_sucio_04.csv,temperatura_limpio_04.csv,180,156,0,24,13.33,156,34.27,219.26,105.2,149,95.51
humedad_sucio_05.csv,temperatura_limpio_05.csv,180,153,0,27,15.0,153,16.15,223.21,99.95,117,76.47
humedad_sucio_06.csv,temperatura_limpio_06.csv,180,155,0,25,13.89,155,38.39,202.15,106.53,152,98.06
humedad_sucio_07.csv,temperatura_limpio_07.csv,180,149,0,31,17.22,149,33.17,187.07,95.91,110,73.83
humedad_sucio_08.csv,temperatura_limpio_08.csv,180,154,0,26,14.44,154,33.46,203.02,105.78,149,96.75
humedad_sucio_09.csv,temperatura_limpio_09.csv,180,155,0,25,13.89,155,16.15,223.36,99.02,115,74.19
humedad_sucio_10.csv,temperatura_limpio_10.csv,180,164,0,16,8.89,164,35.88,217.04,107.15,162,98.78
