ts_ms,humedad,humedad_avg,estado
2755,40.000,40.000,OK
3256,40.000,40.000,OK
3757,40.000,40.000,OK
4257,40.000,40.000,OK
4757,40.000,40.000,OK
5258,40.000,40.000,OK
5758,63.000,43.286,OK
6258,69.500,46.563,OK
6758,69.500,50.250,OK
7258,77.500,54.938,OK
7758,74.000,59.188,OK
8258,74.000,63.438,OK
8758,74.000,67.688,OK
9258,70.500,71.500,ALERT
9758,70.500,72.438,ALERT
10259,70.500,72.563,ALERT
10760,70.500,72.688,ALERT
11260,72.500,72.063,ALERT
11760,73.000,71.938,ALERT
12260,66.500,71.000,ALERT
12760,66.500,70.063,ALERT
13260,66.500,69.563,ALERT
13760,66.500,69.063,ALERT
14260,66.500,68.563,ALERT
14760,66.500,68.063,ALERT
15260,66.500,67.313,OK
15760,66.500,66.500,OK
16261,66.500,66.500,OK
16761,66.500,66.500,OK
17261,66.500,66.500,OK
17761,67.000,66.563,OK
18261,68.000,66.750,OK
18761,68.000,66.938,OK
19261,68.000,67.125,OK
19762,68.000,67.313,OK
20262,68.000,67.500,OK
20762,68.000,67.688,OK
21262,68.000,67.875,OK
21762,66.500,67.813,OK
22262,64.500,67.375,OK
22762,66.500,67.188,OK
23262,72.500,67.750,OK
23763,72.500,68.313,OK
24264,72.500,68.875,OK
24764,72.500,69.438,OK
25264,72.500,70.000,ALERT
25764,72.500,70.750,ALERT
26264,72.500,71.750,ALERT
26765,72.500,72.500,ALERT
27266,72.500,72.500,ALERT
27766,72.500,72.500,ALERT
28266,72.500,72.500,ALERT
28766,70.500,72.250,ALERT
29266,67.000,71.563,ALERT
29766,69.000,71.125,ALERT
30266,71.500,71.000,ALERT
30766,66.500,70.250,ALERT
31266,68.000,69.688,ALERT
31766,70.500,69.438,ALERT
32266,69.000,69.000,ALERT
32766,64.500,68.250,ALERT
33267,64.500,67.938,OK
33768,64.500,67.375,OK
34269,69.500,67.125,OK
34769,73.000,67.938,OK
35269,70.500,68.250,OK
35769,69.500,68.125,OK
36269,69.000,68.125,OK
36769,72.500,69.125,OK
37269,75.500,70.500,ALERT
37769,76.500,72.000,ALERT
38269,78.000,73.063,ALERT
38769,78.000,73.688,ALERT
39269,78.000,74.625,ALERT
39769,77.500,75.625,ALERT
40269,68.000,75.500,ALERT
40769,69.500,75.125,ALERT
41269,72.500,74.750,ALERT
41769,71.500,74.125,ALERT
42269,69.000,73.000,ALERT
42769,69.500,71.938,ALERT
43269,74.000,71.438,ALERT
43769,74.000,71.000,ALERT
44269,72.500,71.563,ALERT
44769,75.500,72.313,ALERT
45269,76.500,72.813,ALERT
45769,79.000,73.750,ALERT
