ts_ms,distancia,banda
2822,12.61,NEAR
2973,72.63,NEAR
3123,72.63,NEAR
3274,72.63,FAR
3424,72.63,FAR
3574,72.63,FAR
3724,72.56,FAR
3874,69.63,FAR
4024,66.63,FAR
4175,49.46,FAR
4325,42.38,FAR
4475,35.29,FAR
4625,32.29,FAR
4776,32.29,FAR
4926,22.21,NEAR
5077,22.21,NEAR
5227,8.04,NEAR
5377,8.04,NEAR
5527,8.04,NEAR
5677,8.04,CLOSE
5827,18.06,CLOSE
5978,25.21,CLOSE
6128,39.31,CLOSE
6279,49.46,CLOSE
6429,62.55,NEAR
6579,72.63,NEAR
6729,72.63,NEAR
6879,72.63,NEAR
7029,79.71,FAR
7179,82.71,FAR
7329,82.71,FAR
7479,82.71,FAR
7629,82.71,FAR
7779,76.71,FAR
7929,62.55,FAR
8079,59.54,FAR
8229,45.38,FAR
8380,42.38,FAR
8530,32.29,FAR
8680,22.21,FAR
8830,18.13,NEAR
8981,12.13,NEAR
9131,12.13,NEAR
9281,8.04,NEAR
9431,5.04,CLOSE
9581,5.04,CLOSE
9731,5.04,CLOSE
9881,18.13,CLOSE
10032,22.21,CLOSE
10183,29.29,CLOSE
10333,32.29,CLOSE
10483,39.38,CLOSE
10633,42.38,NEAR
10783,52.46,NEAR
10933,52.46,NEAR
11083,55.46,NEAR
11233,69.63,NEAR
11383,69.63,NEAR
11534,69.63,FAR
11684,69.63,FAR
11835,72.56,FAR
11985,76.63,FAR
12135,79.70,FAR
12286,79.73,FAR
12436,79.63,FAR
12586,79.71,FAR
12736,72.63,FAR
12886,66.51,FAR
13036,62.56,FAR
13186,59.53,FAR
13336,52.50,FAR
13487,45.41,FAR
13637,45.43,FAR
13787,39.38,FAR
13937,39.39,FAR
14087,32.29,NEAR
14237,29.29,NEAR
14387,25.26,NEAR
14537,18.13,NEAR
14687,15.13,NEAR
14838,12.11,NEAR
14988,8.03,NEAR
15138,5.08,CLOSE
15288,5.04,CLOSE
15438,5.04,CLOSE
15589,8.04,CLOSE
15740,12.13,CLOSE
15890,15.13,CLOSE
16040,25.21,CLOSE
16190,29.29,CLOSE
16341,32.29,CLOSE
16491,42.38,CLOSE
16641,42.38,NEAR
16791,45.38,NEAR
16942,49.46,NEAR
17092,52.46,NEAR
17242,55.46,NEAR
17392,55.46,NEAR
17542,66.63,NEAR
17692,69.63,NEAR
17843,72.63,FAR
17993,79.71,FAR
18143,82.71,FAR
18294,82.75,FAR
18444,82.75,FAR
18594,82.68,FAR
18744,82.75,FAR
18894,79.63,FAR
19045,69.54,FAR
19195,66.58,FAR
19346,59.56,FAR
19497,59.56,FAR
19647,55.48,FAR
19798,49.37,FAR
19948,42.39,FAR
20098,42.31,FAR
20248,42.45,FAR
20398,42.02,NEAR
20548,35.29,NEAR
