ts_ms,distancia,banda
2822,45.38,NEAR
2973,45.38,NEAR
3123,45.38,NEAR
3274,45.38,NEAR
3425,45.38,NEAR
3576,45.40,NEAR
3726,45.41,NEAR
3876,45.41,NEAR
4026,52.50,NEAR
4176,52.50,NEAR
4326,62.48,NEAR
4476,66.54,NEAR
4627,66.54,NEAR
4777,66.54,FAR
4927,72.63,FAR
5077,72.60,FAR
5227,72.56,FAR
5377,72.66,FAR
5528,69.54,FAR
5678,66.63,FAR
5828,59.54,FAR
5978,55.43,FAR
6128,45.38,FAR
6278,42.41,FAR
6428,42.34,FAR
6578,42.38,FAR
6728,42.41,NEAR
6878,42.41,NEAR
7028,52.44,NEAR
7178,59.54,NEAR
7328,62.56,NEAR
7478,66.56,NEAR
7629,69.63,NEAR
7779,72.63,FAR
7929,76.71,FAR
8079,76.71,FAR
8229,76.71,FAR
8379,76.71,FAR
8529,72.63,FAR
8679,66.63,FAR
8829,62.55,FAR
8980,55.46,FAR
9130,49.46,FAR
9280,45.38,FAR
9430,45.38,FAR
9580,45.38,FAR
9731,42.38,FAR
9882,42.38,NEAR
10033,42.38,NEAR
10184,49.46,NEAR
10334,52.46,NEAR
10484,59.54,NEAR
10634,62.55,NEAR
10785,62.55,NEAR
10936,66.61,NEAR
11086,66.61,FAR
11237,66.54,FAR
11387,66.51,FAR
11538,69.54,FAR
11688,72.70,FAR
11838,72.66,FAR
11988,72.66,FAR
12139,72.63,FAR
12289,69.63,FAR
12439,62.55,FAR
12589,59.54,FAR
12739,55.46,FAR
12889,52.46,FAR
13039,49.46,FAR
13189,45.38,FAR
13339,45.38,FAR
13490,45.38,FAR
13640,45.38,NEAR
13790,45.38,NEAR
13940,49.46,NEAR
14090,55.46,NEAR
14241,59.54,NEAR
14392,66.63,NEAR
14542,76.71,FAR
14692,76.71,FAR
14842,76.71,FAR
14992,76.71,FAR
15143,76.71,FAR
15294,76.71,FAR
15444,76.61,FAR
15595,76.68,FAR
15746,76.73,FAR
15897,69.56,FAR
16047,66.54,FAR
16197,59.46,FAR
16347,55.43,FAR
16497,52.39,FAR
16647,52.46,FAR
16797,52.44,FAR
16948,49.36,FAR
17098,45.41,FAR
17248,45.38,FAR
17399,45.38,NEAR
17550,39.38,NEAR
17701,39.38,NEAR
17852,39.38,NEAR
18002,35.29,NEAR
18152,35.29,NEAR
18303,45.38,NEAR
18454,49.46,NEAR
18604,55.46,NEAR
18754,59.54,NEAR
18905,62.48,NEAR
19055,66.54,NEAR
19205,69.54,FAR
19355,72.66,FAR
19505,72.66,FAR
19656,72.60,FAR
19807,76.63,FAR
19958,76.63,FAR
20109,76.71,FAR
20260,72.63,FAR
20410,69.63,FAR
20560,62.55,FAR
20710,59.54,FAR
20860,55.46,FAR
21010,49.46,FAR
21160,49.46,FAR
21310,49.46,FAR
21460,49.46,FAR
21610,49.46,FAR
21760,45.38,FAR
21911,45.38,NEAR
22061,45.38,NEAR
22211,45.38,NEAR
22361,52.46,NEAR
22511,55.46,NEAR
22662,62.55,NEAR
22812,62.55,NEAR
22962,66.63,NEAR
23112,66.63,FAR
23263,69.63,FAR
23413,69.63,FAR
23563,72.63,FAR
23713,76.71,FAR
23863,79.71,FAR
24013,79.71,FAR
24163,79.71,FAR
24313,76.71,FAR
24463,72.63,FAR
24613,72.63,FAR
24764,72.63,FAR
24914,69.56,FAR
25064,66.63,FAR
25214,66.63,FAR
25365,59.54,FAR
25516,59.46,FAR
25667,59.46,FAR
25818,55.50,FAR
25969,55.46,FAR
26119,49.46,FAR
26269,45.38,FAR
