ts_ms,sensor_id,valor_cm,valor_avg,estado_id,estado_nombre
2822,HCSR04_Radar,12.61,12.61,1,NEAR
2973,HCSR04_Radar,72.63,42.62,1,NEAR
3123,HCSR04_Radar,72.63,52.62,1,NEAR
3274,HCSR04_Radar,72.63,57.62,0,FAR
3424,HCSR04_Radar,72.63,60.63,0,FAR
3574,HCSR04_Radar,72.63,62.63,0,FAR
3724,HCSR04_Radar,72.56,64.05,0,FAR
3874,HCSR04_Radar,69.63,64.74,0,FAR
4024,HCSR04_Radar,66.63,71.50,0,FAR
4175,HCSR04_Radar,49.46,68.60,0,FAR
4325,HCSR04_Radar,42.38,64.82,0,FAR
4475,HCSR04_Radar,35.29,60.15,0,FAR
4625,HCSR04_Radar,32.29,55.11,0,FAR
4776,HCSR04_Radar,32.29,50.07,0,FAR
4926,HCSR04_Radar,22.21,43.77,1,NEAR
5077,HCSR04_Radar,22.21,37.85,1,NEAR
5227,HCSR04_Radar,8.04,30.52,1,NEAR
5377,HCSR04_Radar,8.04,25.35,1,NEAR
5527,HCSR04_Radar,8.04,21.05,1,NEAR
5677,HCSR04_Radar,8.04,17.65,2,CLOSE
5827,HCSR04_Radar,18.06,15.87,2,CLOSE
5978,HCSR04_Radar,25.21,14.98,2,CLOSE
6128,HCSR04_Radar,39.31,17.12,2,CLOSE
6279,HCSR04_Radar,49.46,20.53,2,CLOSE
6429,HCSR04_Radar,62.55,27.34,1,NEAR
6579,HCSR04_Radar,72.63,35.41,1,NEAR
6729,HCSR04_Radar,72.63,43.49,1,NEAR
6879,HCSR04_Radar,72.63,51.56,1,NEAR
7029,HCSR04_Radar,79.71,59.27,0,FAR
7179,HCSR04_Radar,82.71,66.45,0,FAR
7329,HCSR04_Radar,82.71,71.88,0,FAR
7479,HCSR04_Radar,82.71,76.04,0,FAR
7629,HCSR04_Radar,82.71,78.56,0,FAR
7779,HCSR04_Radar,76.71,79.07,0,FAR
7929,HCSR04_Radar,62.55,77.81,0,FAR
8079,HCSR04_Radar,59.54,76.17,0,FAR
8229,HCSR04_Radar,45.38,71.88,0,FAR
8380,HCSR04_Radar,42.38,66.84,0,FAR
8530,HCSR04_Radar,32.29,60.54,0,FAR
8680,HCSR04_Radar,22.21,52.97,0,FAR
8830,HCSR04_Radar,18.13,44.90,1,NEAR
8981,HCSR04_Radar,12.13,36.83,1,NEAR
9131,HCSR04_Radar,12.13,30.52,1,NEAR
9281,HCSR04_Radar,8.04,24.09,1,NEAR
9431,HCSR04_Radar,5.04,19.04,2,CLOSE
9581,HCSR04_Radar,5.04,14.38,2,CLOSE
9731,HCSR04_Radar,5.04,10.97,2,CLOSE
9881,HCSR04_Radar,18.13,10.46,2,CLOSE
10032,HCSR04_Radar,22.21,10.97,2,CLOSE
10183,HCSR04_Radar,29.29,13.12,2,CLOSE
10333,HCSR04_Radar,32.29,15.64,2,CLOSE
10483,HCSR04_Radar,39.38,19.55,2,CLOSE
10633,HCSR04_Radar,42.38,24.22,1,NEAR
10783,HCSR04_Radar,52.46,30.15,1,NEAR
10933,HCSR04_Radar,52.46,36.08,1,NEAR
11083,HCSR04_Radar,55.46,40.74,1,NEAR
11233,HCSR04_Radar,69.63,46.67,1,NEAR
11383,HCSR04_Radar,69.63,51.71,1,NEAR
11534,HCSR04_Radar,69.63,56.38,0,FAR
11684,HCSR04_Radar,69.63,60.16,0,FAR
11835,HCSR04_Radar,72.56,63.93,0,FAR
11985,HCSR04_Radar,76.63,66.95,0,FAR
12135,HCSR04_Radar,79.70,70.36,0,FAR
12286,HCSR04_Radar,79.73,73.39,0,FAR
12436,HCSR04_Radar,79.63,74.64,0,FAR
12586,HCSR04_Radar,79.71,75.90,0,FAR
12736,HCSR04_Radar,72.63,76.28,0,FAR
12886,HCSR04_Radar,66.51,75.89,0,FAR
13036,HCSR04_Radar,62.56,74.64,0,FAR
13186,HCSR04_Radar,59.53,72.50,0,FAR
13336,HCSR04_Radar,52.50,69.10,0,FAR
13487,HCSR04_Radar,45.41,64.81,0,FAR
13637,HCSR04_Radar,45.43,60.54,0,FAR
13787,HCSR04_Radar,39.38,55.49,0,FAR
13937,HCSR04_Radar,39.39,51.34,0,FAR
14087,HCSR04_Radar,32.29,47.06,1,NEAR
14237,HCSR04_Radar,29.29,42.90,1,NEAR
14387,HCSR04_Radar,25.26,38.62,1,NEAR
14537,HCSR04_Radar,18.13,34.32,1,NEAR
14687,HCSR04_Radar,15.13,30.54,1,NEAR
14838,HCSR04_Radar,12.11,26.37,1,NEAR
14988,HCSR04_Radar,8.03,22.45,1,NEAR
15138,HCSR04_Radar,5.08,18.16,2,CLOSE
15288,HCSR04_Radar,5.04,14.76,2,CLOSE
15438,HCSR04_Radar,5.04,11.73,2,CLOSE
15589,HCSR04_Radar,8.04,9.57,2,CLOSE
15740,HCSR04_Radar,12.13,8.82,2,CLOSE
15890,HCSR04_Radar,15.13,8.82,2,CLOSE
16040,HCSR04_Radar,25.21,10.46,2,CLOSE
