ts_ms,sensor_id,valor_cm,valor_avg,estado_id,estado_nombre
2822,HCSR04_Radar,45.38,45.38,1,NEAR
2973,HCSR04_Radar,45.38,45.38,1,NEAR
3123,HCSR04_Radar,45.38,45.38,1,NEAR
3274,HCSR04_Radar,45.38,45.38,1,NEAR
3425,HCSR04_Radar,45.38,45.38,1,NEAR
3576,HCSR04_Radar,45.40,45.38,1,NEAR
3726,HCSR04_Radar,45.41,45.39,1,NEAR
3876,HCSR04_Radar,45.41,45.39,1,NEAR
4026,HCSR04_Radar,52.50,46.28,1,NEAR
4176,HCSR04_Radar,52.50,47.17,1,NEAR
4326,HCSR04_Radar,62.48,49.31,1,NEAR
4476,HCSR04_Radar,66.54,51.95,1,NEAR
4627,HCSR04_Radar,66.54,54.60,1,NEAR
4777,HCSR04_Radar,66.54,57.24,0,FAR
4927,HCSR04_Radar,72.63,60.64,0,FAR
5077,HCSR04_Radar,72.60,64.04,0,FAR
5227,HCSR04_Radar,72.56,66.55,0,FAR
5377,HCSR04_Radar,72.66,69.07,0,FAR
5528,HCSR04_Radar,69.54,69.95,0,FAR
5678,HCSR04_Radar,66.63,69.96,0,FAR
5828,HCSR04_Radar,59.54,69.09,0,FAR
5978,HCSR04_Radar,55.43,67.70,0,FAR
6128,HCSR04_Radar,45.38,64.29,0,FAR
6278,HCSR04_Radar,42.41,60.52,0,FAR
6428,HCSR04_Radar,42.34,56.74,0,FAR
6578,HCSR04_Radar,42.38,52.96,0,FAR
6728,HCSR04_Radar,42.41,49.57,1,NEAR
6878,HCSR04_Radar,42.41,46.54,1,NEAR
7028,HCSR04_Radar,52.44,45.65,1,NEAR
7178,HCSR04_Radar,59.54,46.17,1,NEAR
7328,HCSR04_Radar,62.56,48.31,1,NEAR
7478,HCSR04_Radar,66.56,51.33,1,NEAR
7629,HCSR04_Radar,69.63,54.74,1,NEAR
7779,HCSR04_Radar,72.63,58.52,0,FAR
7929,HCSR04_Radar,76.71,62.81,0,FAR
8079,HCSR04_Radar,76.71,67.10,0,FAR
8229,HCSR04_Radar,76.71,70.13,0,FAR
8379,HCSR04_Radar,76.71,72.28,0,FAR
8529,HCSR04_Radar,72.63,73.54,0,FAR
8679,HCSR04_Radar,66.63,73.55,0,FAR
8829,HCSR04_Radar,62.55,72.66,0,FAR
8980,HCSR04_Radar,55.46,70.51,0,FAR
9130,HCSR04_Radar,49.46,67.11,0,FAR
9280,HCSR04_Radar,45.38,63.19,0,FAR
9430,HCSR04_Radar,45.38,59.27,0,FAR
9580,HCSR04_Radar,45.38,55.36,0,FAR
9731,HCSR04_Radar,42.38,51.58,0,FAR
9882,HCSR04_Radar,42.38,48.55,1,NEAR
10033,HCSR04_Radar,42.38,46.02,1,NEAR
10184,HCSR04_Radar,49.46,45.27,1,NEAR
10334,HCSR04_Radar,52.46,45.65,1,NEAR
10484,HCSR04_Radar,59.54,47.42,1,NEAR
10634,HCSR04_Radar,62.55,49.57,1,NEAR
10785,HCSR04_Radar,62.55,51.71,1,NEAR
10936,HCSR04_Radar,66.61,54.74,1,NEAR
11086,HCSR04_Radar,66.61,57.77,0,FAR
11237,HCSR04_Radar,66.54,60.79,0,FAR
11387,HCSR04_Radar,66.51,62.92,0,FAR
11538,HCSR04_Radar,69.54,65.06,0,FAR
11688,HCSR04_Radar,72.70,66.70,0,FAR
11838,HCSR04_Radar,72.66,67.97,0,FAR
11988,HCSR04_Radar,72.66,69.23,0,FAR
12139,HCSR04_Radar,72.63,69.98,0,FAR
12289,HCSR04_Radar,69.63,70.36,0,FAR
12439,HCSR04_Radar,62.55,69.86,0,FAR
12589,HCSR04_Radar,59.54,68.99,0,FAR
12739,HCSR04_Radar,55.46,67.23,0,FAR
12889,HCSR04_Radar,52.46,64.70,0,FAR
13039,HCSR04_Radar,49.46,61.80,0,FAR
13189,HCSR04_Radar,45.38,58.39,0,FAR
13339,HCSR04_Radar,45.38,54.98,0,FAR
13490,HCSR04_Radar,45.38,51.95,0,FAR
13640,HCSR04_Radar,45.38,49.81,1,NEAR
13790,HCSR04_Radar,45.38,48.04,1,NEAR
13940,HCSR04_Radar,49.46,47.28,1,NEAR
14090,HCSR04_Radar,55.46,47.66,1,NEAR
14241,HCSR04_Radar,59.54,48.92,1,NEAR
14392,HCSR04_Radar,66.63,51.58,1,NEAR
14542,HCSR04_Radar,76.71,55.49,0,FAR
14692,HCSR04_Radar,76.71,59.41,0,FAR
14842,HCSR04_Radar,76.71,63.33,0,FAR
14992,HCSR04_Radar,76.71,67.24,0,FAR
15143,HCSR04_Radar,76.71,70.65,0,FAR
15294,HCSR04_Radar,76.71,73.31,0,FAR
15444,HCSR04_Radar,76.61,75.44,0,FAR
15595,HCSR04_Radar,76.68,76.69,0,FAR
15746,HCSR04_Radar,76.73,76.70,0,FAR
15897,HCSR04_Radar,69.56,75.80,0,FAR
16047,HCSR04_Radar,66.54,74.53,0,FAR
16197,HCSR04_Radar,59.46,72.38,0,FAR
16347,HCSR04_Radar,55.43,69.71,0,FAR
16497,HCSR04_Radar,52.39,66.67,0,FAR
16647,HCSR04_Radar,52.46,63.66,0,FAR
16797,HCSR04_Radar,52.44,60.63,0,FAR
16948,HCSR04_Radar,49.36,57.21,0,FAR
17098,HCSR04_Radar,45.41,54.19,0,FAR
17248,HCSR04_Radar,45.38,51.54,0,FAR
17399,HCSR04_Radar,45.38,49.78,1,NEAR
17550,HCSR04_Radar,39.38,47.78,1,NEAR
17701,HCSR04_Radar,39.38,46.15,1,NEAR
17852,HCSR04_Radar,39.38,44.51,1,NEAR
18002,HCSR04_Radar,35.29,42.37,1,NEAR
